Character|Subject/Position|Background
Cuthbert Binns|History of Magic|The History of Magic teacher for the entire series, Cuthbert Binns has the distinction of being the only teacher at Hogwarts who is a ghost. It is said that one day he took a nap in a chair in the staff room and died in his sleep later, he simply got up to go to teach his next class and "left his body behind". His lessons are notoriously boring and it is mentioned that the most exciting thing that ever happens in his class is his "entering through the blackboard". As a ghost, he seems unaware of his change from living to dead. In the second book, it is he who describes the legend of the Chamber of Secrets when asked by the students, but in the film version, it is McGonagall, as Binns does not appear in any of the films. He constantly gets the students' names wrong and is often so absent-minded he is amazed to find the class filled with students.
Charity Burbage|Muggle Studies|The Muggle Studies teacher before Harry's seventh year she does not appear until Harry Potter and the Deathly Hallows (as Harry has no need to take the class). Because her teachings about Muggles gave an overall favourable impression of them, going so far as to write an editorial praising Muggles in the Daily Prophet, she runs afoul of the Death Eaters, whose philosophy asserts the supremacy of pure-bloods. She becomes a prisoner of Lord Voldemort in the seventh book; he tortures and kills her before feeding her to Nagini. The character (played by Carolyn Pickles) appears briefly in the film Harry Potter and the Deathly Hallows – Part 1.
Amycus Carrow|	Muggle Studies / Deputy Headmaster | Posted as Deputy Headmaster to Hogwarts to keep control over the school, maintain a reign of fear and to take charge of punishment under Severus Snape's regime as Headmaster in Harry Potter and the Deathly Hallows. Alecto Carrow taught Muggle Studies, now a required course; however, instead of encouraging understanding of Muggles,she taught ideologies that Muggles were no better than animals. Amycus Carrow taught Defence Against the Dark Arts; however it is noted that there was no defence involved because they had changed the name to Dark Arts, so Amycus frequently taught students the Unforgivable Curses and openly encouraged them to practice these on their classmates who earned themselves detention. In Harry Potter and the Deathly Hallows, Alecto Carrow is stunned by Luna Lovegood in the Ravenclaw common room. Harry Potter then uses the Cruciatus Curse on Amycus Carrow after he spat in Minerva McGonagall's face.
Alecto Carrow|	Muggle Studies / Deputy Headmistress |	Posted as Deputy Headmistress to Hogwarts to keep control over the school, maintain a reign of fear and to take charge of punishment under Severus Snape's regime as Headmaster in Harry Potter and the Deathly Hallows. Alecto Carrow taught Muggle Studies, now a required course; however, instead of encouraging understanding of Muggles,she taught ideologies that Muggles were no better than animals. Amycus Carrow taught Defence Against the Dark Arts; however it is noted that there was no defence involved because they had changed the name to Dark Arts, so Amycus frequently taught students the Unforgivable Curses and openly encouraged them to practice these on their classmates who earned themselves detention. In Harry Potter and the Deathly Hallows, Alecto Carrow is stunned by Luna Lovegood in the Ravenclaw common room. Harry Potter then uses the Cruciatus Curse on Amycus Carrow after he spat in Minerva McGonagall's face.
Albus Percival Wulfric Brian Dumbledore|	Transfiguration/ Deputy Headmaster / Headmaster	The Headmaster of Hogwarts | He was awarded many titles, most of which were removed by Minister for Magic Cornelius Fudge after he accused Dumbledore of conspiring to take over the Ministry.
Argus Filch	|Caretaker|	The Squib caretaker of Hogwarts for the entire series; He owns a cat named Mrs Norris, who seems to possess certain magical abilities. He hates all students and he is bitter about not possessing magical abilities.
Firenze|	Divination|	A centaur, he previously lived with his herd in the Forbidden Forest. In the Order of the Phoenix, after Sybill Trelawney is fired by Dolores Umbridge, he is hired by Dumbledore to teach Divination in her stead. The other centaurs found this dishonourable and banished him from the herd. By Half-Blood Prince, Trelawney was reinstated as Divination teacher, but due to Firenze's situation with his herd, Dumbledore had them teach Divination concurrently until Firenze returns to the Forest after the Battle of Hogwarts.
Filius Flitwick|Charms|	The Charms teacher and Head of Ravenclaw House for the entire series. He is also shown to be the director of the school's choir in the film adaptation of Prisoner of Azkaban and Order of the Phoenix.
Wilhelmina Grubbly-Plank|	Care of Magical Creatures|	A substitute Care of Magical Creatures teacher. She first appears in Harry Potter and the Goblet of Fire, taking lessons when Hagrid is unable to teach, and substitutes again in Harry Potter and the Order of the Phoenix when Hagrid is away on a mission for the Order of the Phoenix. A number of students in Harry's year prefer Grubbly-Plank, as unlike Hagrid, she is quite happy to teach them about creatures that don't have poisonous fangs or deadly talons. Despite Harry's initial distrust of her abilities compared to Hagrid, she is a competent teacher – recognising the cause of Hedwig's injuries and healing her with little difficulty.
Rubeus Hagrid|	Care of Magical Creatures / Grounds Keeper|	The Half-giant gamekeeper, Keeper of Keys and Grounds, and, from Harry's third year at Hogwarts, the Care of Magical Creatures professor. He has a habit of introducing dangerous creatures, which he considers harmless, to the students.
Rolanda Hooch|	Flying|	The Quidditch referee during the entire series, and flying instructor for first-year students. She is described as having short, spiky, grey hair, with piercing yellow hawk-like eyes, usually hidden behind goggles. Her expertise is called on along with Professor Flitwick's to test Harry's Firebolt broom for dark magic.
Silvanus Kettleburn|	Care of Magical Creatures|	The Care of Magical Creatures teacher since Armando Dippet (Dumbledore's predecessor) was headmaster. He eventually retires to "spend time with his remaining limbs", and his place is eventually taken by Hagrid in Prisoner of Azkaban.
Gilderoy Lockhart|	Defence Against the Dark Arts|	The Defence Against the Dark Arts teacher in Harry Potter and the Chamber of Secrets (Harry's second year at Hogwarts). He is adored by the female students for his charm and popularity in the wizarding world but is actually a coward and a fraud who took stories from other wizards and then erased their memories. He loses his own memory when a spell backfires on him and is subsequently hospitalised for long-term care.
Remus John Lupin|	Defence Against the Dark Arts|	The Defense Against the Dark Arts teacher in Harry Potter and the Prisoner of Azkaban (Harry's third year at Hogwarts). He is loved by most students (except for those in Slytherin house) for being the best Defense Against the Dark Arts teacher. He resigns at the end of that year after Snape reveals that he is a werewolf. His nickname from the Marauders Map is Moony.
Minerva McGonagall|	Transfiguration / Deputy Headmistress / Headmistress|	The Transfiguration teacher and Head of Gryffindor House during the entire series. Deputy Headmistress during the first six novels. Temporary Headmistress when Dumbledore was sacked in Chamber of Secrets. Temporary Headmistress after Dumbledore's death in Half-Blood Prince. Revealed to be the Headmistress in Cursed Child.
Alastor Moody|	Defence Against the Dark Arts|	Moody is appointed as Defence Against the Dark Arts teacher in Harry Potter and the Goblet of Fire (Harry's fourth year at Hogwarts). A former Auror, he gained his nickname for the magical eye he wears to replace one he lost in the line of duty. At the end of the book, Moody is revealed as an impostor, Barty Crouch Jr, who had captured the real Moody one day before the start of term as part of a plan to deliver Harry to Voldemort to help his resurrection. Moody reappears in the series as an active Order of the Phoenix member but never actually teaches. He is killed in Harry Potter and the Deathly Hallows
Irma Pince|	Librarian|	The librarian of Hogwarts during the entire series. She is compared to an "underfed vulture", and is very possessive and protective with the library books, many times screaming at Ron and Harry. Dumbledore relates that while she agreed to allow the Hogwarts copy of Quidditch through the Ages to be used for a special facsimile copy, handing over the book ran so counter to her nature that she was struck by an unusual form of paralysis and he had to prise her fingers from the book manually.
Poppy Pomfrey|	Matron|	The Matron and nurse in charge of the hospital wing during the entire series, being on the position for decades. It was mentioned once that she worked at St. Mungo's before transferring to Hogwarts. She has a reputation for strictness, but when faced with Dolores Umbridge's and later the Death Eaters' abuse of the students, she admits that she never even considered resigning, refusing to leave the students when they needed her most.
Quirinus Quirrell|	Muggle Studies / Defence Against the Dark Arts|	The Defence Against the Dark Arts teacher in Harry Potter and the Philosopher's Stone (Harry's first year at Hogwarts). He later turns out to be possessed by Voldemort and is dead by the end of the book.
Aurora Sinistra	|Astronomy|	The Astronomy teacher during the entire series Sinistra assists Professor Flitwick in moving a petrified Justin Finch-Fletchley to the hospital wing in Chamber of Secrets and is mentioned sporadically throughout the series.
Horace Eugene Flaccus Slughorn|	Potions|	A former Potions master and Head of Slytherin for several decades prior to Harry's birth, Slughorn agrees to come out of retirement and return to these functions at the beginning of Half-Blood Prince. He stays in the job after Voldemort's takeover but sides firmly with the Hogwarts staff against him in Deathly Hallows.
Severus Snape|	Potions / Defense Against the Dark Arts / Headmaster|	The Potions master from Harry's first to fifth years, head of Slytherin House from Harry's first to sixth years and Defence Against the Dark Arts teacher in Harry Potter and the Half-Blood Prince (Harry's sixth year at Hogwarts). Snape serves as Headmaster in Harry Potter and the Deathly Hallows, having been appointed by the Minister for Magic, Pius Thicknesse (who was controlled by Voldemort), until he is killed by Voldemort in the final chapters of the novel.
Pomona Sprout|	Herbology|	The Herbology teacher and Head of Hufflepuff House during the entire series. She held the job for years, and she carried the position after the Battle of Hogwarts until she retired and was replaced by Neville Longbottom who, by the time of the epilogue, is said to be the Herbology teacher.
Sybill Patricia Trelawney|	Divination|	The Divination teacher from 1980 (Harry's birth year) until Order of the Phoenix, when she is fired by Umbridge. Trelawney returns to the work in Half-Blood Prince and Deathly Hallows, sharing the position with Firenze.
