name;breed;owner
Crookshanks;Cat;Hermione Jean Granger
Dobby;House Elf;Lucius Malfoy
Fawkes;Phoenix;Albus Percival Wulfric Brian Dumbledore
Firenze;Centuar;
Griphook;Goblin;
Hedwig;Owl;Harry James Potter
Hokey;House Elf;Hepzibah Smith
Kreacher;House Elf;Sirius Black
Nagini;Snake;Tom Marvolo Riddle
Peeves;Poltergeist;
Winky;House Elf;Barty Crouch Jr
Scabbers;Rat;Ronald Bilius Weasley
Pigwidgeon;Owl;Ronald Bilius Weasley
Hermes;Owl;Percy Ignatius Weasley
Errol;Owl;Weasley family
Arnold;Pygmy Puff;Ginevra (Ginny) Molly Weasley
Aragog;Spider;Rubeus Hagrid
Buckbeak;Hippogriff;Rubeus Hagrid
Fluffy;Dog(three headed);Rubeus Hagrid
Tenebrus;Thestral;Rubeus Hagrid
